categoryid,parentid,categoryname,categoryorder,categoryvisible,alternateurl,lastmodified,category_displaymode,subcategory_displaymode1,display_columns,display_rows,display_showlistprice,display_showyousave,display_showdescriptionshort,display_showavailability,display_featuredproductsonly,rootid,metatag_title,metatag_description,default_sortby,link_title_tag,category_graphic_placement,filtercategory,categorydescriptionshort,categorydescription,metatag_keywords,categorydescription_belowproducts,custom_where_clause,hidden,breadcrumb,photoseed,subcategory_displaymode1_responsive,subcategory_displaycolumns_responsive
342,259,Pikolinos,,,,5/9/2016 13:47,,,,,,,,,,7,,,Newest,Pikolinos,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Pikolinos',N,ALL WOMEN'S SHOES > Brands,,0,3
343,259,Pink & Pepper,,,,5/9/2016 13:47,,,,,,,,,,7,,,Newest,Pink_and_Pepper,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Pink & Pepper',N,ALL WOMEN'S SHOES > Brands,,0,3
344,259,Poetic Licence,,,,5/9/2016 13:48,,,,,,,,,,7,,,Newest,Poetic_Licence,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Poetic Licence',N,ALL WOMEN'S SHOES > Brands,,0,3
345,259,Remonte,,,,5/9/2016 13:50,,,,,,,,,,7,,,Newest,Remonte,,N,,,,,(ProductDescriptionShort = 'Womens' or ProductDescriptionShort = 'Women''s' ) and ProductManufacturer = 'Remonte',N,ALL WOMEN'S SHOES > Brands,,0,3
346,259,Rieker,,,,5/9/2016 13:50,,,,,,,,,,7,,,Newest,Rieker,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Rieker',N,ALL WOMEN'S SHOES > Brands,,0,3
347,259,Rose Petals,,,,6/14/2016 12:33,,,,,,,,,,7,,,Newest,Rose_Petals,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Rose Petals',Y,ALL WOMEN'S SHOES > Brands,,0,3
348,259,Salomon,,,,6/30/2015 9:40,,,,,,,,,,7,,,,Salomon,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Salomon',Y,ALL WOMEN'S SHOES > Brands,,0,3
349,259,Sesto Meucci,,,,5/9/2016 13:55,,,,,,,,,,7,,,Newest,Sesto_Meucci,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Sesto Meucci',N,ALL WOMEN'S SHOES > Brands,,0,3
350,259,Skechers,,,,5/9/2016 13:55,,,,,,,,,,7,,,Newest,Skechers,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Skechers',N,ALL WOMEN'S SHOES > Brands,,0,3
351,259,Soft Walks,,,,5/9/2016 13:56,,,,,,,,,,7,,,Newest,Soft_Walks,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Soft Walks',N,ALL WOMEN'S SHOES > Brands,,0,3
352,259,Steve Madden,,,,5/9/2016 13:58,,,,,,,,,,7,,,Newest,Steve_Madden,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Steve Madden',N,ALL WOMEN'S SHOES > Brands,,0,3
353,259,Taos,,,,5/9/2016 13:59,,,,,,,,,,7,,,Newest,Taos,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Taos',N,ALL WOMEN'S SHOES > Brands,,0,3
